ID,Authors,Year,Year_numeric,Decade,Title,Search engine,Classification,Problem_statement,Research_gap,Contribution,Method,Method_clean,Method_category,Method_detail,Study region,Study_region_clean,Study_region_continent,Numerical water value,Has_water_value,DOI,Extraction_source,Notes
1-215,"Moiseeva, E.; Hesamzadeh, M. R.",2015,2015,2015–2019,Strategic bidding by a risk-averse firm with a portfolio of renewable resources,IEEE Xplore,G,Strategic firms owning flexible renewable resources like hydropower and storage can potentially abuse market power by withholding ramp-rates to manipulate electricity prices during periods of uncertainty.,Existing MPEC models need extension to stochastic setups that consider risk-aversion through CVaR and model the effects of withholding ramp-rate on social welfare and profits.,A bi-level stochastic MPEC recast as a single-stage MILP investigates the effect of strategic ramp-rate bidding by risk-averse companies owning varied renewable portfolios.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/PTC.2015.7232550,"Abstract, Intro",
1-216,"Campos, F. A.; Munoz San Roque, A.; Sanchez-Ubeda, E. F.; Portela Gonzalez, J.",2016,2016,2015–2019,Strategic Bidding in Secondary Reserve Markets,IEEE Xplore,C,Companies face technical and financial risks when preparing step-wise secondary reserve bidding curves in the very short term under significant market uncertainty.,"Related literature often fails to consider different power limits for regulating plants, which can lead to bidding curves that cause significant profit losses.",A mixed-integer programming model computes robust secondary reserve bidding curves by considering technical constraints and Multilayer Perceptron-based residual demand curve forecasts.,MIP,MILP,Optimization,MIP,,Not specified,Not specified,,False,10.1109/TPWRS.2015.2453477,"Abstract, Conclusion",
1-217,"Abgottspon, H.; Andersson, G.",2013,2013,2010–2014,Strategic bidding of ancillary services for a hydro power producer,IEEE Xplore,A,Agents in secondary control power markets must repeatedly adjust bids based on shared knowledge and water values to optimize expected profits across thousands of game rounds.,The secondary control market lacked an iterative algorithm that shares repetitive knowledge among agents to converge on optimal bids while accounting for specific water values and plant characteristics. (inferred).,An iterative parallel algorithm uses shared knowledge and CPLEX to calculate optimal secondary control power bids for agents based on carefully estimated water values and profit functions.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1109/EEM.2013.6607360,"Nomenclature, Sec IV",
1-218,"Alnaes, E. N.; Grondahl, R.; Fleten, S.; Boomsma, T. K.",2013,2013,2010–2014,The degree of rationality in actual bidding of hydropower at Nord Pool,IEEE Xplore,C,Flexible hydropower producers often exhibit sub-optimal bidding behavior in day-ahead markets due to complex regulations on water flows and variable fees.,Empirical analysis of individual producer bidding behavior is scarce compared to normative optimization approaches or studies focused solely on market power abuse.,An empirical study analyzes actual day-ahead bids to identify underlying factors and quantifies the maximum potential income increase for flexible hydropower producers.,Other,Other,Other,Other,,Not specified,Not specified,,False,10.1109/EEM.2013.6607389,"Intro, Methodology",
1-219,"Pereira, J. P.; Pesquita, V.; Rodrigues, P. M. M.",2017,2017,2015–2019,The effect of hydro and wind generation on the mean and volatility of electricity prices in Spain,IEEE Xplore,G,"The increasing penetration of wind and solar capacity, alongside variable reservoir levels, creates potential structural breaks in how renewables influence electricity spot-market price level and variance.",Empirical evidence is needed to determine the specific stabilizing effect of reservoir levels on intraday power prices when facing significant wind forecast errors in large systems.,An ARX-GARCHX model estimates the impact of wind generation and hydro reservoir levels on Spanish day-ahead prices across different sub-periods and structural breaks.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/EEM.2017.7981915,"Sub-period analysis, Refs",
1-220,"Aigner, T.; Jaehnert, S.; Doorman, G. L.; Gjengedal, T.",2012,2012,2010–2014,The Effect of Large-Scale Wind Power on System Balancing in Northern Europe,IEEE Xplore,G,Integrating large-scale wind power requires additional regulating reserves and higher flexibility from thermal plants to compensate for production deviations and prediction errors at any instance.,Market participants need a better understanding of how procuring and activating regulating reserves in real-time affects the overall efficiency of liberalized northern European power markets (inferred).,A modeling framework analyzes integrated regulating power markets in Europe to evaluate the benefits of transmission capacity reservation for exchanging regulating resources under wind uncertainty.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1109/TSTE.2012.2203157,"Intro, Refs",
1-221,"Hankimaa, H.; Oliveira, F.; Fanzeres, B.",2025,2025,2020–2025,The Effect of Multi-Market Participation on Day-Ahead Trading of an Electricity Producer,IEEE Xplore,C,Power generating companies with hybrid portfolios of dispatchable and renewable energy must manage significant revenue risks from imbalances across sequential electricity markets.,Existing models that constrain expected imbalances to zero are often unsuitable for portfolios containing variable renewable energy generators due to inherent uncertainty.,A stochastic optimization model uses a multistage scenario tree to decide optimal offer curves for day-ahead and reserve markets while managing imbalances.,SP,Other,Optimization,SP,,Not specified,Not specified,,False,10.1109/EEM64765.2025.11050191,"Abstract, Conclusion",
1-222,"Nacken, L.; Mobius, T.",2017,2017,2015–2019,The effects of harmonized European climate policy targets in comparison to national targets utilizing a European electricity market model,IEEE Xplore,D,Inefficiencies in achieving climate policy targets occur when nations have different marginal generation costs for renewables and emission abatement.,"There is a lack of analysis comparing fully harmonized EU-wide climate goals against decentralized, country-specific renewable and emission targets. (inferred).",A fundamental electricity market investment and dispatch model evaluates the economic efficiency and electricity price impacts of harmonized European climate targets.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM.2017.7981987,"Intro, Sec II",
1-224,"Eriksen, M.; Trondal, M. E.",2022,2022,2020–2025,The Influence on Day-Ahead Trading Volumes by Including Power Flow Equations in The Planning Algorithm for Short-Term Hydropower in Congested Areas,IEEE Xplore,C,"Increasing penetration of renewable sources creates bottlenecks and price differences between zones, requiring tools that explicitly model meshed network topology.","Previous short-term hydropower scheduling studies have investigated grid issues in a simplified radial manner, neglecting the complex dynamics of meshed networks.",A multi-period optimal power flow algorithm combined with short-term hydropower scheduling evaluates how storage dynamics and grid restrictions influence nodal area prices.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM54602.2022.9921169,"Intro, Formulation",
1-225,"Vardanyan, Y.; Amelin, M.",2011,2011,2010–2014,The state-of-the-art of the short term hydro power planning with large amount of wind power in the system,Scopus,R,"Large-scale introduction of wind power introduces significant variations and uncertainties into the power market, requiring advanced hydropower planning techniques to provide flexibility.","Existing stochastic models for short-term hydropower planning typically reflect only one type of uncertainty rather than addressing multiple types, such as market prices and inflows, simultaneously.",A state-of-the-art review categorizes short-term hydropower planning models and identifies the need for multi-stage stochastic models that incorporate multiple types of uncertainty.,Review,Other,Review/Theoretical,Review,,Not specified,Not specified,,False,10.1109/EEM.2011.5953053,"Abstract, Intro, Conclusion",
1-226,"Kjetsa, E. S.; Kjetsa, E. S.; Mo, B.",2015,2015,2015–2019,The value of considering uncertain fuel prices in the profitability evaluation of future HVDC links between the Nordic system and continental Europe,IEEE Xplore,R,"Hydropower scheduling optimization traditionally assumes fuel prices are deterministic, failing to find strategies that are robust with respect to significant fuel price variations.","Standard stochastic dynamic programming (then ""SDP"") solution methods are limited by the curse of dimensionality, restricting the state variables available for price modeling in market clearing problems.",A theoretical modeling approach includes fuel price uncertainties in water value calculations to increase the benefit of interconnections and shift energy trade to more beneficial times.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1109/EEM.2015.7216699,"Intro, SDP section, Conclusions",
1-227,"Farinosi, F.; Carrera, L.; Mysiak, J.; Breil, M.; Testella, F.",2012,2012,2010–2014,Tradable certificates for renewable energy: The Italian experience with hydropower,IEEE Xplore,G,Sustainable water management in Europe requires effective economic policy instruments to mitigate the hydrologic impacts of hydropower stations and other carbon-neutral energy developments.,Comprehensive documentation and assessment of subsidies for ecologically friendly hydropower plants and the resulting consequences for basin-level water balance are missing from cross-border policy analysis (inferred).,The EPI-WATER project report synthesizes case studies on Italian and German renewable certificates and subsidies to evaluate their effectiveness for sustainable water and energy management.,Theoretical,Other,Review/Theoretical,Theoretical,,Not specified,Not specified,,False,10.1109/EEM.2012.6254695,"Acknowledgment, Refs",
1-228,"Toma, L.; Urluescu, L.; Eremia, M.; Revaz, J.",2007,2007,2005–2009,Trading Ancillary Services for Frequency Regulation in Competitive Electricity Markets,IEEE Xplore,D,Transmission system operators must define clear technical codes and operational procedures for qualifying suppliers of balancing energies and ancillary services. (inferred).,Methodological voids exist regarding the selection and qualification processes for different types of balancing energies in national transmission networks. (inferred).,A set of operational procedures and technical codes defines the qualification and selection criteria for ancillary service providers in a power system. (inferred).,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/PCT.2007.4538431,References,
1-229,"Braun, S. M.; Burkhardt, M.",2015,2015,2015–2019,Trading of pumped storage hydropower plants on energy only and ancillary services markets,IEEE Xplore,F,Hydropower storage operators must maximize profits by coordinating turbine and pump use across different electricity market stages and target reservoir levels. (inferred).,Methodologies for optimizing hydroelectric systems under spot and control energy market prices require more comprehensive stochastic representations. (inferred).,A profit maximization model for hydropower systems optimizes turbine and pump operations using market prices and reservoir filling levels. (inferred).,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/ICRERA.2015.7418492,Nomenclature,
1-232,"Duc, D. X.; Singh, J. G.; Ongsakul, W.",2011,2011,2010–2014,Water valuation in Vietnamese electric power generation market,IEEE Xplore,A,Managing saved water for future use in hydro-thermal systems requires substantially accurate water value calculations that can account for transmission constraints and stochastic inflow variables.,Systems modeling lacked a solution algorithm that effectively applies stochastic dual dynamic programming to large-scale hydro-thermal optimization while maintaining technical and transmission accuracy. (inferred).,This work suggests using the SDDP method as a solution algorithm to execute substantial water value calculations and optimize stochastic hydro-thermal power systems with transmission constraints.,SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,Yes,True,10.1109/ICUEPES.2011.6497713,Excerpt,
1-233,"Helseth, A.; Mo, B.; Fodstad, M.",2017,2017,2015–2019,Water values in future power markets,Scopus,A,"Hydropower valuation is significantly affected when considering multiple balancing markets, yet including all reserve capacity and energy markets in weekly scheduling models is an exhaustive computational task.",Scheduling models lacked a framework to find how water valuation is precisely affected by the inclusion of reserve capacity procurement and balancing energy within a multi-market setting. (inferred).,"A multi-market scheduling model evaluates how the valuation of water is affected by balancing markets, considering uncertainties in inflows and prices over three to five-year analysis periods.",LP,LP,Optimization,LP,,Not specified,Not specified,Yes,True,10.1109/PTC.2017.7980885,Excerpt,
1-234,"Figueiredo, N. C.; Pereira Da Silva, P.; Cerqueira, P.",2015,2015,2015–2019,Wind generation influence on market splitting: The Iberian spot electricity market,IEEE Xplore,D,"High deployment of wind and hydropower can create grid congestion and market splitting, challenging the management of cross-border interconnections.",Previously used parametric models have known limitations and fail to provide sufficient detail on market splitting probability responses.,"Non-parametric models express the probability of market splitting as a function of wind power, hydropower, available transmission capacity, and demand.",Non-parametric,Other,Economic-Engineering,Non-parametric,,Not specified,Not specified,,False,10.1109/EEM.2015.7216649,"Abstract, Sec VI",
1-235,"Aminabadi, M. J.; Séguin, S.; Fleten, S.; Aasgård, E. K.",2025,2025,2020–2025,Optimizing Profile Block Bids in Short-Term Hydropower Scheduling: A Two-Phase Model for the Day-Ahead Market,IEEE Xplore,C,Producers with cascaded reservoirs must navigate complex intertemporal dependencies and conflicts between upstream and downstream water releases when bidding in day-ahead markets.,"While regular block bidding is well-researched, there is a lack of contributions addressing profiled block bids for Norwegian day-ahead market participation.",A two-phase optimization model generates feasible production profiles and then selects the most profitable blocks using a two-stage linear stochastic program.,,Not available,Not available,Not available,Simulated,Synthetic/Theoretical,Not applicable,,False,10.1109/CoDIT66093.2025.11321880,"Intro, Methodology",
1-236,"Shawwash, Z.; Siu, T.; Russell, S.",2000,2000,2000–2004,The B.C. Hydro short term hydro scheduling optimization model,IEEE Xplore,R,System operators in competitive markets need to secure sufficient energy and capacity while exploiting system flexibility and managing financial risks in real-time power supply operations.,Operators often do not accept the simplifications in abstract optimization models or find them difficult to use within the time constraints of real-time scheduling.,"A fast and flexible decision support system, STOM, uses linear programming to determine the optimal tradeoff between long-term water value and real-time spot trading returns.",,Not available,Not available,Not available,Western US and Alberta Canada,Multi-country,Europe,,False,10.1109/59.871743,"Objectives, Strategy, Conclusions",
1-237,"Liu, J.; Chen, H.; Yin, X.",2022,2022,2020–2025,The Sequential Clearing Mechanism of Energy Market and Regulating Ancillary Service Market Including Pumped Storage,IEEE Xplore,G,Immature market-oriented incentive mechanisms for pumped storage units to participate in frequency modulation diminish the willingness of pumped storage units to participate in stabilizing power grids.,Electricity markets need sequential clearing mechanisms that effectively integrate pumped storage units into both energy and regulating ancillary service markets simultaneously (inferred).,A sequential clearing mechanism for the day-ahead market optimizes pumped storage participation in energy and ancillary service markets while considering technical limits and efficiency.,,Not available,Not available,Not available,Synthetic case study,Synthetic/Theoretical,Not applicable,,False,10.1109/CEEPE55110.2022.9783414,"Intro, Nomenclature",
1-317,"Klaboe, G.; Fosso, O. B.",2013,2013,2010–2014,Optimal bidding in sequential physical markets: A literature review and framework discussion,IEEE Xplore,C,The growth of markets with shorter time horizons than the day-ahead market raises questions about coordinating bids to maximize profit across sequential stages.,There is a lack of a systematic framework for consistency in modeling volume-price relationships and competition assumptions across sequential electricity markets.,"A literature review and framework discussion identifies four critical issues for sequential market modeling, ensuring consistent assumptions across turnover volumes and prices.",Review,Other,Review/Theoretical,Review,,Not specified,Not specified,,False,10.1109/PTC.2013.6652371,"Abstract, Conclusion",
1-346,"Lipp, K.; Egerer, J.",2014,2014,2010–2014,The flexibility of hydroelectric reservoir and pumped storage generation: Application to Switzerland,IEEE Xplore,R,"Increasing fluctuating renewable generation requires greater power system flexibility, yet system-wide market models often use simplified representations that ignore hydropower storage technical constraints.",Existing models exhaustively study constraints at the level of individual plants but lack a detailed system-wide representation that accounts for hydraulic interconnections and seasonal inflows.,A detailed techno-economic optimization model accounts for hydraulic interconnections and plant capacity constraints to optimize the hourly dispatch of Swiss hydropower assets.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM.2014.6861295,"Intro, Methodology",
1-356,"Xu, B.; Zhong, P.; Wu, Y.; Fu, F.; Chen, Y.; Zhao, Y.",2017,2017,2015–2019,A Multiobjective Stochastic Programming Model for Hydropower Hedging Operations under Inexact Information,Scopus,G,"Uncertain inflows and inexact penalizing price information create risks of energy shortfall for hydropower companies, potentially leading to significant economic losses and contract violations.",Standard hedging models lack a unified structure that integrates multiobjective tradeoffs between direct revenue maximization and energy shortfall minimization under interval-parameter uncertainty.,A multiobjective multistage stochastic programming model uses shadow price analysis and parameter sensitivity tests to rationalize hedging decisions for the Three Gorges cascade system.,SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,,False,10.1007/s11269-017-1771-x,"Methodology, Discussion",
1-357,"Helseth, A.; Fodstad, M.; Askeland, M.; Mo, B.; Nilsen, O. B.; Pérez‐Díaz, J. I.; Chazarra, M.; Guisández, I.",2017,2017,2015–2019,Assessing hydropower operational profitability considering energy and reserve markets,Scopus,A,Traditional linear models for long-term scheduling often overestimate operational profitability because they fail to represent non-convex system characteristics and opportunities in reserve capacity markets.,The hydropower literature lacked an SDP-based decomposition model that benchmarks linear scheduling policies and quantifies approximation errors while accounting for energy and reserve market interactions. (inferred).,A stochastic dynamic programming model allows for non-convex system representation and demonstrates that linear approximations significantly overestimate operational profitability when reserve capacity markets are ignored.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,Yes,True,10.1049/iet-rpg.2017.0407,"Intro, Conclusions",
1-358,"Tilmant, A.; Pinte, D.; Goor, Q.",2008,2008,2005–2009,Assessing marginal water values in multipurpose multireservoir systems via stochastic programming,Scopus,B,Water managers in arid regions face complex trade-offs when allocating limited water across hydropower and irrigation sectors under highly stochastic hydrologic conditions.,"Most nonmarket valuation studies focus on long-run policies and assume water availability is fixed, ignoring the stochasticity required for operational short-run allocation.",A stochastic dual dynamic programming approach assesses the statistical distribution of marginal water values in multipurpose systems by using Lagrange multipliers as shadow prices.,SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,Yes,True,10.1029/2008WR007024,"Abstract, Sec 1, Conclusions",
1-359,"Trondsen, B. J.; Steen, O. M. H.; Sheppard, A. J.",2024,2024,2020–2025,Assessing Operational Behaviour of a Hybrid Hydro-Solar Power Plant Providing Security of Supply Under Weather Uncertainty in the Nordics,Scopus,A,Integrating high proportions of clean energy requires advanced forecasting and uncertainty modeling techniques to maintain the stability and efficiency of long and short-term power supply.,The energy sector lacked a comprehensive review that synthesizes uncertainty modeling techniques specifically for power systems integrating variable clean energy sources and reservoir statistics. (inferred).,This review synthesizes advanced uncertainty modeling and time-series analysis techniques to improve long and short-term power supply forecasting under clean energy integration.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1109/EEM60825.2024.10608906,References,
1-360,"Arsenault, R.; Côté, P.; Latraverse, M.",2019,2019,2015–2019,Assessing the Impacts of Integrating Snowpack Error Distribution in the Management of a Hydropower Reservoir Using Bayesian Stochastic Dynamic Programming (BSDP),Scopus,H,"Hydrological variables used in reservoir management, such as soil humidity and precipitation, are subject to significant measurement bias and seasonal error distributions.",Standard management techniques often lack a method to naturally correct hydrologic bias or represent the uncertainty of snowpack errors in a way that avoids flooding (inferred).,"A Bayesian stochastic dynamic programming (then ""SDP"") tool integrates snowpack error distributions to improve uncertainty representation and naturally correct hydrological variable bias in hydropower reservoir management.",SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1007/978-3-030-03311-8_4,"Results, Conclusions",
1-361,"Davis, M. D.; Lund, J. R.; Howitt, R. E.",2004,2004,2000–2004,Banking Groundwater to Meet Growing Water Demand in California,Scopus,H,Analyzing California's future water supply requires evaluating price allocation versus current operation policies under promising conjunctive use and cooperative operations.,"Existing models had a limited ability to represent water quality, fixed urban pumping costs, or the interactions between individual underground reservoir subbasins in statewide versions.",The CALVIN economic optimization model provides a statewide framework to evaluate the economic benefits of policy alternatives and the willingness-to-pay for additional water reliability.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/40569(2001)312,"Modeling Process, Limitations",
1-362,"Mo, B.; Martino, S.; Naversen, C.; Aronsen, G.; Rismark, O.",2019,2019,2015–2019,Benchmarking Hydro Operation by Use of a Simulator,Scopus,A,,,,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1007/978-3-030-03311-8_6,,
1-365,"Kleiven, A.; Risanger, S.; Fleten, S.",2023,2023,2020–2025,Co-movements between forward prices and resource availability in hydro-dominated electricity markets,Scopus,A,Simplistic modeling using fixed correlation coefficients fails to capture the sophisticated dependencies between electricity prices and reservoir inflows that vary dynamically throughout the year.,Research lacked analytical insights into the intuition behind co-movements and a sophisticated price process to characterize their actual impact on policy in a multistage setting.,"A novel stochastic model uses MC-SDDP to characterize the impact of co-movements between prices and inflows, demonstrating that ignoring correlations incurs only modest economic losses in practice.",SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,,False,10.1007/s12667-023-00605-z,"Intro, Conclusions",
1-366,"Aasgård, E. K.",2019,2019,2015–2019,Coordinated Hydropower Bidding in the Day-Ahead and Balancing Market,Scopus,D,Hydropower producers often exhibit sub-optimal bidding behavior in day-ahead markets by failing to account for all marginal and opportunity costs.,There is a lack of empirical analysis documenting how actual bids submitted by reservoir hydropower producers deviate from rational optimization benchmarks.,An empirical analysis compares actual bids from Norwegian hydropower producers to model-generated optimal bids to identify scopes for improved efficiency.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1007/978-3-030-03311-8_3,"Abstract, Intro",
1-367,"Saad Suliman, M.; Farzaneh, H.",2025,2025,2020–2025,Data-driven modeling of the aggregator-based price-maker virtual power plant (VPP) in the day-ahead wholesale electricity markets; evidence from the Japan Electric power Exchange (JEPX) market,Scopus,D,Developing countries lack regulated electricity markets prepared for major reforms to dismantled structures for competitive dynamic pricing.,"Conceptually, earlier virtual power plant studies only considered the VPP as one of many market participants rather than the sole price-making entity.",A comprehensive modeling framework unifies regional supply and demand resources into a single price-maker VPP to generate dynamic deregulated prices.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1016/j.ijepes.2024.110433,"Abstract, Intro",
1-368,"Chazarra, M.; Pérez-Díaz, J.; García-González, J.",2017,2017,2015–2019,Deriving Optimal End of Day Storage for Pumped-Storage Power Plants in the Joint Energy and Reserve Day-Ahead Scheduling,Scopus,A,Realistic pumped-storage hydropower plants (PSHPs) need to quantify how look-ahead periods and simultaneous market participation can enlarge their maximum theoretical income (MTI) compared to simpler strategies.,Methodology for PSHPs lacked a quantitative look-ahead approach to derive end-of-day storage and prove the financial benefits of participating in both day-ahead and secondary regulation markets. (inferred).,"A methodology with a look-ahead period quantifies MTI enlargement for PSHPs, proving that participation in both the day-ahead market and secondary regulation service increases total income.",MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.3390/en10060813,"Methodology, Nomenclature",
1-369,"Birkedal, M.; Bolkesjø, T. F.",2016,2016,2015–2019,Determinants of Regulated Hydropower Supply in Norway,Scopus,F,"Accurately predicting the supply of regulated hydropower is difficult due to the influence of stochastic variables like inflow, temperature, and power prices.",Econometric models for hydropower supply require improved structural equations to account for endogeneity between power prices and generation. (inferred).,"A structural econometric behavior model estimates Norwegian regulated hydropower supply using inflow, price expectations, and a two-step OLS regression.",Other,Other,Other,Other,,Not specified,Not specified,,False,10.1016/j.egypro.2015.12.352,"Sec 2, Sec 4",
1-370,"Ilak, P.; Rajšl, I.; Đaković, J.; Delimar, M.",2018,2018,2015–2019,Duality Based Risk Mitigation Method for Construction of Joint Hydro-Wind Coordination Short-Run Marginal Cost Curves,Scopus,E,Short-run hydropower generation scheduling for wind power differences is difficult because hydropower resources are storable and have negligible direct costs.,Standard first-derivative approaches for constructing marginal cost curves are insufficient for coordinated hydropower-wind generation involving storable resources.,A systematic approach constructs joint short-run marginal cost curves by combining water shadow prices and the shadow price of risk mitigation.,Other,Other,Other,Other,,Not specified,Not specified,,False,10.3390/en11051254,"Abstract, Intro",
1-372,"Guisández, I.; Pérez-Díaz, J. I.",2019,2019,2015–2019,Evaluating Approaches for Estimating the Water Value of a Hydropower Plant in the Day-Ahead Electricity Market,Scopus,B,Traditional water value definitions for centralized systems must be adapted for competitive electricity markets where independent companies manage hydropower resources for profit maximization.,Scientific literature lacked clear definitions and computational methodologies for profit-based versus cost-based water values in competitive hydro-thermal coordination environments.,A methodology using market equilibrium models demonstrates that cost-based water value remains the correct signal for coordinating short-term and medium-term operations.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1007/978-3-030-03311-8_2,"Summary, Sec 4, Conclusion",
1-373,"Nycander, E.; Böhlmark, E.",2024,2024,2020–2025,Evaluation of methods for long-term hydropower planning in electricity market models,Scopus,A,Electricity market models lack clear comparative data on how well different water value algorithms deal with hydropower stochasticity when planning systems over extended time periods.,The field lacked a systematic comparison of EMPS and BID3 models against a look-ahead dispatch method using steady-state optimization and out-of-sample evaluation for 100 inflow years. (inferred).,"A comparative study evaluates EMPS and BID3 water values alongside a look-ahead dispatch method, demonstrating the potential for incorporating short-term flexibility like batteries into market models.",SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1049/icp.2024.4601,"Intro, Conclusions",
1-374,"Sandsmark, M.; Tennbakk, B.",2010,2010,2010–2014,Ex post monitoring of market power in hydro dominated electricity markets,Scopus,A,Hydro-dominated markets like Nord Pool require robust ex-post monitoring techniques to distinguish between legitimate resource management and strategic exercise of market power in competitive spot markets.,Regulatory organisms lacked a synthesis of ex-post monitoring methodologies tailored to identify strategic interactions and duopoly power within specific hydro-dominated electricity network configurations. (inferred).,"This work provides an ex-post monitoring framework for market power in hydro-dominated systems, synthesizing performance metrics and strategic interactions to evaluate competitive market health.",Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1016/j.enpol.2009.11.033,"Intro, References",
1-375,"Braun, S.",2016,2016,2015–2019,Hydropower Storage Optimization Considering Spot and Intraday Auction Market,Scopus,A,"Pumped hydro storage operators need to optimize scheduling across multiple power markets, including spot and intraday auctions, to effectively integrate increasing levels of renewable energy.",Scheduling frameworks lacked a storage optimization model that simultaneously considers spot and intraday auction markets for price-maker hydropower plants within a competitive European market context. (inferred).,"An optimization model for pumped hydro storage optimizes scheduling across spot and intraday auction markets, enhancing profitability and renewable integration in the competitive electricity sector.",Other,Other,Other,Other,,Not specified,Not specified,,False,10.1016/j.egypro.2015.12.355,"Intro, Conclusion",
1-376,"Sheppard, A. J.; Klæboe, G.; Nygård, M. M.",2023,2023,2020–2025,Hydro-solar seasonal complementarity for optimal hydropower plant expansion in the transitioning Nordic power system,Scopus,G,Power systems transitioning toward renewable energy face growing needs for flexibility to mitigate uncertain outputs from wind and other intermittent sources over short and long periods.,Scientific literature provides limited proof-of-concept for hybrid hydro-PV plants and lacks quantitative comparisons between energy availability versus generation capacity expansion for these systems.,A synthetic modeling framework co-locates 10 MWp solar PV with the Ormsetfoss hydropower plant to prove that hybrid generation delivers stable production and advantageous revenues.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1109/ETFG55873.2023.10408736,"Contribution, Conclusion",
1-378,"Kong, J.; Iliev, I.; Skjelbred, H. I.",2024,2024,2020–2025,Including Lifetime Hydraulic Turbine Cost into Short-Term Hybrid Scheduling of Hydro and Solar,Scopus,R,Operating hydraulic turbines in off-design zones to provide flexibility causes accumulated fatigue damage and cracks that can lead to premature material failure.,Traditional short-term scheduling models consider off-design zones forbidden and lack a method to quantify accumulated damage in terms of production cost for resource allocation.,A short-term hybrid scheduling model quantifies accumulated turbine damage as a stepwise production cost to optimize the trade-off between market price and lifetime costs.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.3390/en17215246,"Intro, Contributions, Conclusions",
1-379,"Schmitz, R.; Naversen, C. Ø.; Härtel, P.",2023,2023,2020–2025,Influence of hydrogen import prices on hydropower systems in climate-neutral Europe,Scopus,G,"The transformation toward climate-neutral energy systems affects hydropower assets, yet the specific impact of green hydrogen import price scenarios on hydropower scheduling remains unknown.",Existing planning models for integrated energy systems usually treat hydropower as a minor role or use detailed approaches that are computationally intractable at European scales.,A clustered-equivalent (CLEQ) modeling approach within the SCOPE SD framework provides a computationally efficient one-dam representation of thousands of reservoirs across Europe.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1007/s12667-023-00595-y,"Previous work, Aggregated models",
1-380,"Guisández, I.; Pérez-Díaz, J.; Wilhelmi, J.",2016,2016,2015–2019,Influence of the Maximum Flow Ramping Rates on the Water Value,Scopus,B,Imposing maximum flow ramping rates to protect river ecosystems limits hydropower flexibility and reduces the economic revenue of generating companies.,There was no prior work analyzing the specific quantitative influence of flow ramping rate constraints on the seasonal marginal water value of reservoirs.,"A master-slave algorithm using stochastic dynamic programming (then ""SDP"") demonstrates that increasing ramping rate severity quadratically decreases water value, particularly during dry seasons.",SDP,SDP,Optimization,SDP,,Not specified,Not specified,Yes,True,10.1016/j.egypro.2015.12.363,"Abstract, Intro, Conclusions",
1-382,"Guisández, I.; Pérez-Díaz, J. I.",2025,2025,2020–2025,Linear programming formulations for the hydro production function in a water value calculation,Scopus,B,"Standard stochastic dual dynamic programming cannot handle non-convex hydropower production functions, requiring linear approximations that often overstate plant total power output.",There was no comprehensive comparison of diverse linear programming formulations to determine which method best balances modeling accuracy with computational speed.,A novel binary function method for modeling the hydro production function improves the effectiveness of weekly water value calculations across different markets.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,Yes,True,10.1016/j.renene.2025.122571,"Abstract, Intro, Conclusions",
